x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
0.9589,141.1111,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
0.9817,141.1728,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.0046,141.2037,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.0274,141.2037,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.0502,141.2037,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.0731,141.1883,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.0959,141.1728,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.1187,141.1420,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.1416,141.1111,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.1644,141.0802,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.1872,141.0494,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.2100,140.9877,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.2329,140.9568,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.2557,140.9259,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.2785,140.8951,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.3014,140.8488,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.3242,140.8025,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.3470,140.7716,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.3699,140.7407,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.3927,140.7099,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.4155,140.6790,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.4384,140.6481,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.4612,140.6327,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.4840,140.6173,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.5068,140.5864,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.5297,140.5710,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
1.5525,140.5556,days,mEq/L,28548387,Fig 2 panel NaConc,G01_Ki0,NaConc,digitize_app_figs.py,2026-06-25
