x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
1.4286,5.3259,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
1.5306,5.2259,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
1.6327,5.1556,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
1.7347,5.1111,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
1.8367,5.0889,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
1.9388,5.0778,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.0408,5.0741,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.2449,5.0741,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.3469,5.0778,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.4490,5.0778,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.5510,5.0815,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.6531,5.0852,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
2.8571,5.0889,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
3.0612,5.0926,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
3.1633,5.0926,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
3.3673,5.0963,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
3.4694,5.0963,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
3.5714,5.0963,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
4.0816,5.1000,days,L/min,28548387,Fig 2 panel CO,G01_Ki0,CO,digitize_app_figs.py,2026-06-25
