x,y,x_unit,y_unit,source_pmid,fig_ref,series,digitization_tool,date
22.8388,83.3103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
23.0929,83.3103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
23.3497,86.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
23.6094,86.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
23.872,83.7241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
24.1375,83.7241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
24.406,83.7241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
24.6774,84.1379,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
24.9519,87.0345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
25.2294,87.0345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
25.51,84.5517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
25.7937,84.5517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
26.0806,84.5517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
26.3707,84.5517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
26.664,84.9655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
26.9606,84.9655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
27.2604,84.9655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
27.5636,85.3793,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
27.8702,85.3793,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
28.1802,88.2759,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
28.4936,90.7586,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
28.8105,85.7931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
29.131,85.7931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
29.455,85.7931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
29.7826,86.2069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
30.1138,86.2069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
30.4487,86.2069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
30.7874,86.2069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
31.1298,86.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
31.4761,86.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
31.8262,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
32.1801,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
32.538,87.0345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
32.8999,87.0345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
33.2659,87.0345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
33.6359,87.4483,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
34.01,87.4483,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
34.3882,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
34.7707,87.8621,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
35.1574,87.8621,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
35.5485,87.8621,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
35.9438,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
36.3436,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
36.7478,88.2759,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
37.1566,88.2759,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
37.5698,88.6897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
37.9877,88.6897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
38.4102,91.1724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
38.8374,91.1724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
39.2694,89.1034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
39.7061,89.1034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
40.1478,91.1724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
40.5943,91.1724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
41.0458,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
41.5023,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
41.9639,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
42.4306,92,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
42.9026,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
43.3797,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
43.8622,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
44.3501,92.4138,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
44.8433,92.4138,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
45.3421,90.7586,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
45.8464,91.1724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
46.3563,92.8276,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
46.8719,92.4138,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
47.3932,91.5862,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
47.9203,91.5862,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
48.4533,93.6552,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
48.9922,92,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
49.5371,92.4138,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
50.0881,92.4138,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
50.6452,92.8276,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
51.2085,92.8276,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
51.778,94.4828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
52.3539,94.4828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
52.9362,93.2414,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
53.525,93.6552,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
54.1203,93.6552,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
54.7223,94.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
55.3309,94.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
55.9463,95.3103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
56.5685,94.4828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
57.1977,94.8966,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
57.8339,95.3103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
58.4771,95.3103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
59.1275,95.7241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
59.7852,95.7241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
60.4501,96.1379,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
61.1224,96.9655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
61.8023,96.5517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
62.4896,96.9655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
63.1847,97.3793,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
64.598,98.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
65.3165,98.2069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
66.0429,98.6207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
70.5746,101.103,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
71.3595,101.517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
72.1532,101.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
72.9557,102.759,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
73.7672,102.759,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
74.5876,103.586,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
75.4172,103.586,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
76.256,104.414,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
77.1041,104.828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
77.9617,105.241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
78.8288,105.655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
79.7056,106.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
80.5921,104.414,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
81.4885,106.897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
82.3948,105.241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
83.3112,106.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
84.2378,106.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
85.1747,106.483,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
86.1221,108.966,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
87.0799,106.897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
88.0485,109.379,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
89.0278,110.207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
90.018,110.207,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
91.0192,111.034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
92.0315,111.034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
93.0551,108.552,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
94.0901,111.862,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
95.1366,112.276,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
96.1947,112.69,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
97.2646,109.793,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
98.3464,111.448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
99.4402,113.517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
100.546,111.034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
101.665,111.034,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
102.795,111.448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
103.939,115.172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
105.095,111.862,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
106.264,115.586,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
107.445,112.69,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
108.64,116.414,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
109.849,116.828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
111.071,114.345,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
112.306,117.241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
113.555,113.517,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
114.818,118.069,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
116.095,118.483,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
117.386,118.897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
118.692,119.31,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
120.012,119.724,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
121.347,116.828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
122.696,117.241,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
124.061,120.966,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
125.441,120.966,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
126.836,121.793,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
128.247,116.828,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
129.673,122.621,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
131.115,122.621,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
132.574,117.655,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
134.048,123.448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
135.539,118.483,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
137.047,124.276,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
138.571,124.69,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
140.112,118.897,mmol/day,mmHg,28556624,Fig 1a,SP-N_0,digitize_figure.py,2026-06-25
22.8388,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
23.0929,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
23.3497,89.5172,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
23.872,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
24.1375,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
24.406,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
24.6774,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
24.9519,89.931,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
25.2294,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
25.51,90.3448,mmol/day,mmHg,28556624,Fig 1a,SP-N_0.5,digitize_figure.py,2026-06-25
