x,y,x_unit,y_unit,source_pmid,fig_ref,series,digitization_tool,date
22.5876,75.0345,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
22.8388,59.1034,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
23.0929,67.4483,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
23.3497,67.4483,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
23.6094,59.8621,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
23.872,59.8621,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
24.1375,68.2069,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
24.406,68.2069,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
24.6774,60.6207,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
24.9519,61.3793,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
25.2294,61.3793,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
25.51,68.9655,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
25.7937,68.9655,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
26.0806,62.1379,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
26.3707,62.1379,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
26.664,62.8966,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
26.9606,70.4828,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
27.2604,63.6552,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
27.5636,63.6552,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
27.8702,63.6552,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
28.1802,72,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
28.4936,71.2414,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
28.8105,64.4138,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
29.131,65.1724,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
29.455,65.1724,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
29.7826,69.7241,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
30.1138,65.931,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
30.4487,65.931,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
30.7874,66.6897,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
31.1298,73.5172,mmol/day,mL/min,28556624,Fig 1b,SP-N_0,digitize_figure.py,2026-06-25
