x,y,x_unit,y_unit,source_pmid,fig_ref,series,panel,digitization_tool,date
0.7434,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
0.7965,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
0.8496,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
0.9027,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
0.9558,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.0088,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.0619,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.1150,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.1681,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.2212,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.2743,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.3274,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.3805,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.4336,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.4867,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.5398,58.3784,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.5929,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.6991,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.7522,58.3784,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.8053,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.8584,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.9115,55.1351,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
1.9646,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.0177,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.0708,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.1239,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.1770,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.2301,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.2832,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.3363,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.3894,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.4425,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.4956,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.5487,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.6018,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.6549,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.7080,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.7611,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.8142,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.8673,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.9204,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
2.9735,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.0265,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.0796,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.1327,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.1858,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.2389,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.2920,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.3451,56.7568,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.3982,63.2432,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.4513,72.9730,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.5044,76.2162,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.5575,89.1892,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.6106,113.5135,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.6637,129.7297,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.7168,147.5676,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.7699,157.2973,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.8230,160.5405,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.8761,160.5405,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.9292,158.9189,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
3.9823,157.2973,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
4.0354,155.6757,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
4.0885,154.0541,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
4.1416,154.0541,days,mmol/day,28556624,Fig 2,SS,NaIntEx,digitize_app_figs.py,2026-06-25
