x,y,x_unit,y_unit,source_pmid,fig_ref,series,digitization_tool,date
4.0,250.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
6.0,430.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
8.0,475.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
10.0,490.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
12.0,500.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
14.0,510.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
16.0,490.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
18.0,500.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
20.0,500.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
22.0,510.0,weeks,mg/dL,30564457,fig2a,dbdb,visual_inspection_fallback,2026-06-28
4.0,130.0,weeks,mg/dL,30564457,fig2a,WT_or_dbm,visual_inspection_fallback,2026-06-28
8.0,135.0,weeks,mg/dL,30564457,fig2a,WT_or_dbm,visual_inspection_fallback,2026-06-28
12.0,120.0,weeks,mg/dL,30564457,fig2a,WT_or_dbm,visual_inspection_fallback,2026-06-28
16.0,125.0,weeks,mg/dL,30564457,fig2a,WT_or_dbm,visual_inspection_fallback,2026-06-28
20.0,130.0,weeks,mg/dL,30564457,fig2a,WT_or_dbm,visual_inspection_fallback,2026-06-28
